NUM;AREA;LOCUS;BUCKET;CLASS;TYPE;MATERIAL;TECHNIQUE;DECORATION;PRESERVATION;FRAGMENTS;HEIGHT;LENGHT;WIDTH;THICKNESS;DIAMETER;PERF. DIAM.;WEIGHT;DESCRIPTION;
265;A west;F.645;123/a;clay figurine;Animal figurine;clay;hand;applied;fragmentary;1;8.4+;4.4+;5.4;;;;;Forepart of an animal figurine, with harness.;
266;H;F.1100;602/e;Other;indeterminate;basalt;hand;;fragmentary;1;7,5 +;17,4 +;8,4;;;;;Indeterminate object of fne graioned basalt with one side flat.;
267;H;F.1102;603/b;stone vessel;vessel;basalt;hand;;fragmentary;4;;;;;;;;Stone vessel of fine grained basalt badly preserved.;
268;A west;F.641;126/a;metal tool&weapon;nail;iron;hand;;fragmentary;1;;3.7+;;1.1;;;;Iron nail with nearly circular section and circular head (diameter: 2.2);
269;B;F. 824;329/a;Ornament;bead;glass paste;hand;;nearly complete;1;;;;1;1.4;0.4;;Orange circular glass paste bead.;
270;C;F.960;433/c;stone tool&weapon;pestle;stone;hand;;complete;1;;;;;3.6;;;Spherical stone pestle.;
271;C;F.960;433/b;stone tool&weapon;pestle;stone;hand;;complete;1;;;;;5;;;Spherical stone pestle.;
272;H;F.1102;603/c;stone tool&weapon;pestle;stone;hand;;complete;1;;;;;4.5;;;Spherical stone pestle.;
274;H;F.1100;604/a;clay figurine;Antropomorphic figurine;clay;hand;applied;fragmentary;1;9.8+;;4.8;;;;;Body of a human figurine, with hands to the chest.;
275;A west;F.646;124/a;clay figurine;Animal figurine;clay;hand;;fragmentary;1;4+;8.5+;4.3+;;;;;Body of an animal figurine.;
276;H;F.1100;602/f;clay figurine;Animal figurine;clay;hand;applied;fragmentary;1;3.9+;;2.6+;;;;;Head of an animal clay figurine, with harness.;
277;B;F.807;330/c;clay figurine;Animal figurine;clay;hand;;fragmentary;1;3.6+;;2.6+;;;;;Leg of animal figurine.;
278;B;F.807;330/d;clay figurine;Animal figurine;clay;hand;;fragmentary;1;2.8+;;1.8;;;;;Leg of an animal figurine.;
279;B;F.807;330/b;clay figurine;Animal figurine;clay;hand;applied;fragmentary;1;5.5+;8.3+;5.2+;;;;;Forepart of an animal figurine, with a littlte fragment of harness.;
280;B;F.807;330/a;clay figurine;Animal figurine;clay;hand;applied;fragmentary;1;7.7+;5.2+;5;;;;;Forepart of an horse figurine, with harness.;
281;C;F. 956;431/a;clay figurine;animal figurine;clay;hand;applied;fragmentary;1;5.7+;5.7;2.6+;;;;;Head of an horse figurine, with harness.;
283;A west;F.641;128/b;coin;coin;bronze;moult;;complete;1;;;;0.3;1.4;;1;Bronze coin, recto and verso illegible.;
284;G;F.1057;537/a;coin;coin;bronze;mold;;complete;1;;;;0,3;1,7;;6;Bronze coin, both faces illegible.;
285;G;F.1057;536/b;coin;coin;bronze;moult;;complete;1;;;;0.5;2.3;;10;Bronze coin, recto and verso illegible.;
286;G;F.1056;534/a;clay figurine;Animal figurine;clay;hand;;fragmentary;1;4.5+;4.2;2.9+;;;;;Head of a bull figurine.;
